"aircraft","aircraftLabel","passengers","image","article"
"http://www.wikidata.org/entity/Q415172","Akaflieg München Mü3 Kakadu","","http://commons.wikimedia.org/wiki/Special:FilePath/Akaflieg%20Mue%203.jpg",""
"http://www.wikidata.org/entity/Q2819251","Al Fajer L-10","","http://commons.wikimedia.org/wiki/Special:FilePath/Dr%C3%B4ne%20AL%20fajer%20L-10.jpg",""
"http://www.wikidata.org/entity/Q3607903","Albatros L102","","http://commons.wikimedia.org/wiki/Special:FilePath/Albatros%20L%20102%20L%27Aerophile%20November%201932.jpg",""
"http://www.wikidata.org/entity/Q2831869","Albessard Triavion","","http://commons.wikimedia.org/wiki/Special:FilePath/Albessard%20Triavion%20right%20side%20photo%20NACA%20Aircraft%20Circular%20No.89.jpg",""
"http://www.wikidata.org/entity/Q2837176","Alisport Yuma","","http://commons.wikimedia.org/wiki/Special:FilePath/Schaffen%20Alisport%20Yuma%2002.JPG",""
"http://www.wikidata.org/entity/Q3575208","AMD Alarus","","http://commons.wikimedia.org/wiki/Special:FilePath/AMD%20Alarus%20side%20view.jpg",""
"http://www.wikidata.org/entity/Q2843454","Amiot 110","","http://commons.wikimedia.org/wiki/Special:FilePath/Amiot%20S.E.C.M.%20110%20C.1%20left%20front%20photo%20NACA%20Aircraft%20Circular%20No.97.jpg",""
"http://www.wikidata.org/entity/Q2819289","ANBO III","","http://commons.wikimedia.org/wiki/Special:FilePath/Anbo3.jpg",""
"http://www.wikidata.org/entity/Q2002067","ANBO IV","","http://commons.wikimedia.org/wiki/Special:FilePath/Anbo%2041-I.jpg",""
"http://www.wikidata.org/entity/Q575344","ANBO VIII","","http://commons.wikimedia.org/wiki/Special:FilePath/Anbo8.jpg",""
"http://www.wikidata.org/entity/Q2819292","ANEC IV","","http://commons.wikimedia.org/wiki/Special:FilePath/ANEC%20IV%20photo%20NACA%20Aircraft%20Circular%20No.21.jpg",""
"http://www.wikidata.org/entity/Q2818902","ANF Les Mureaux 190","","http://commons.wikimedia.org/wiki/Special:FilePath/Mureaux%20190%20photo%20L%27Aerophile%20December%201936.jpg",""
"http://www.wikidata.org/entity/Q2878438","Antoinette military monoplane","","http://commons.wikimedia.org/wiki/Special:FilePath/Antoinette%20Military%20Monoplane%201911.JPG",""
"http://www.wikidata.org/entity/Q3601693","Arado SC I","","http://commons.wikimedia.org/wiki/Special:FilePath/Arado%20SC%20I%20NACA%20Aircraft%20Circular%2056.jpg",""
"http://www.wikidata.org/entity/Q2423542","Armstrong Whitworth A.W.19","","http://commons.wikimedia.org/wiki/Special:FilePath/AWAW19.jpg",""
"http://www.wikidata.org/entity/Q610989","Armstrong Whitworth AW.23","","http://commons.wikimedia.org/wiki/Special:FilePath/Armstrong%20Whitworth%20AW%2023.jpg",""
